SKpersonId,personStrId
gap0320,Boltardo Giovanni^0^0^1678
gap0321,Bonafede Giuseppe^0^0^1703
gap0322,Bonanni Filippo^0^0^1700
gap0323,Bonaventura^0^0^1683
gap0324,Bonaventura del S[acro] C[uore]^0^0^1693
gap0325,Bonaveri Giovanni Antonio^0^0^1685
gap0326,Boncompagno Apollonio^0^0^1704
gap0327,Bondicchi Camillo^0^0^1700
gap0328,Bondicchi Francesco^0^0^1679
gap0329,Bondoni Teodoro^0^0^1703
gap0330,Bonelli Pietro Paolo^0^0^1698
gap0331,Bonfanti Cristoforo^0^0^1680
gap0332,Bonfigli Francesco Maria^0^0^1677
gap0333,Bongino Giovanni^0^0^1691
gap0334,Bonini Filippo Maria^0^0^1674
gap0335,Bonjour Guglielmo^0^0^1700
gap0336,Bonomi Giovanni Francesco^0^0^1688
gap0337,Borboni Tancredi^0^0^1672
gap0339,Borde Filippo^0^0^1671
gap0344,Borgherini Giovanni Battista^0^0^1677
gap0346,Borghesi Ridolfo^0^0^1684
gap0347,Borghi Andrea^0^0^1676
gap0348,Borghi Camillo Maria^0^0^1710
gap0349,Borghini Maria Selvaggia^0^0^1692
gap0351,Borri Francesco Giuseppe^0^0^1687
gap0352,Borromei Giovanni Antonio^0^0^1667
gap0353,Borro Niccol• del^0^0^1688
gap0354,Borsari Antonio^0^0^1700
gap0355,Bosca Pietro Paolo^0^0^1680
gap0356,Boschi Paolo^0^0^1687
gap0357,Bosdari Niccol•^0^0^1685
gap0358,Bosdari Pietro^0^0^1677
gap0359,Boselli Cipriano^0^0^1672
gap0360,Bossi Pietro^0^0^1671
gap0361,Bottari Giovanni^0^0^1690
gap0362,Bottini Giovanni Battista^0^0^1697
gap0363,Bouchaud abate^0^0^1693
gap0364,Bourguet Louis^0^0^1709
gap0365,Bournardel Feliciano^0^0^1704
gap0367,Boyoland conte di^0^0^1704
gap0368,Bracceschi Giulio Cesare^0^0^1665
gap0369,Bracciolini Baroni Ippolito^0^0^1677
gap0370,Braida Giacinto^0^0^1701
gap0372,Brancaccini Domenico Maria^0^0^1681
gap0373,Brancaccio Giovanni^0^0^1702
gap0374,Branchi Anton Giuseppe^0^0^1708
gap0377,Bresci (?) [...]^0^0^1703
gap0378,Bresciani Benedetto^0^0^1685
gap0379,Bresciani Sigismondo^0^0^1689
gap0380,Brevi Lodovico^0^0^1695
gap0381,Briesmannus Johannes^0^0^1676
gap0382,Brigandi Simeone^0^0^1678
gap0383,Brinchius Ivanus^0^0^1709
gap0384,Brizi Angelo^0^0^1698
gap0385,Brocchi Giovanni Battista^0^0^1664
gap0386,Brondi Giuseppe^0^0^1678
gap0387,Bru Giovanni Luca de^0^0^1682
gap0388,Brunacci Alessandro^0^0^1664
gap0389,Brunamontini Antonio^0^0^1696
gap0390,Brunelleschi Antonio^0^0^1705
gap0392,Brunetti Giovanni Maria^0^0^1679
gap0393,Brunozzi Alfonso^0^0^1700
gap0394,Bruschi Francesco^0^0^1689
gap0395,Bubani Ortensio^0^0^1681
gap0396,Bubulli Niccol•^0^0^1682
gap0397,Buccioli Domenico^0^0^1690
gap0398,Bucelli Giuseppe^0^0^1695
gap0399,Buchel Johannes^0^0^1712
gap0401,Bulifon Niccol•^0^0^1694
gap0403,Buonamici Salvatore^0^0^1689
gap0404,Buonaparte Andrea^0^0^1680
gap0405,Buonarroti Filippo^0^0^1699
gap0407,Buondelmonti Ladislao^0^0^1690
gap0408,Buonfrizieri Placido Maria^0^0^1700
gap0409,Burali Carlo Maria^0^0^1677
gap0410,Burchi Bastiano^0^0^1692
gap0413,Burger Petrus^0^0^1690
gap0414,Burlamacchi Fabrizio^0^0^1681
gap0415,Burlamacchi Guglielmo^0^0^1689
gap0417,Burnet Thomas^0^0^1692
gap0418,Busca Ludovico^0^0^1709
gap0419,Bussieres Jean de^0^0^1673
gap0420,Busti Benedetto^0^0^1692
gap0421,Busti Giuseppe^0^0^1699
gap0422,Buti Niccol•^0^0^1702
gap0423,Butio Massimiliano^0^0^1709
gap0424,C.M.B.B.^0^0^1695
gap0425,C. P. frate^0^0^1683
gap0427,Cacherani Giuseppe^0^0^1677
gap0428,Cadorino Giacomo^0^0^1677
gap0429,Caggioli^0^0^1704
gap0430,Calcagni Diego^0^0^1679
gap0431,Calchberner^0^0^1696
gap0432,Calcioni Giovanni Battista^0^0^1698
gap0433,Caleppi Giovanni Giacomo^0^0^1676
gap0434,Califfi Antonio^0^0^1704
gap0435,Califfi Sigismondo^0^0^1704
gap0436,Caloprese Gregorio^0^0^1691
gap0437,Caluri Onorato^0^0^1700
gap0438,Calvelloni Santi^0^0^1686
gap0439,Calvi Donato^0^0^1675
gap0440,Calza Felice Lauro^0^0^1677
gap0441,Camelli Francesco^0^0^1671
gap0442,Camerarius Rudolphus Jacobus^0^0^1692
gap0443,Camotti Tommaso^0^0^1670
gap0444,Campelli Francesco Maria^0^0^1689
gap0445,Campelli Solone^0^0^1687
gap0446,Campione Francesco Maria^0^0^1695
gap0447,Camposampietro Alvise Antonio^0^0^1693
gap0448,Canale Giovanni^0^0^1683
gap0449,Canali Camillo^0^0^1684
gap0450,Canarisio Antonio Francesco^0^0^1683
gap0451,Cancellotti Marcantonio^0^0^1701
gap0452,Canneti Pietro^0^0^1695
gap0453,Cantatori Giovanni Battista^0^0^1696
gap0454,Cantelli Giacomo^0^0^1694
gap0455,Capalli Giovanni Battista^0^0^1685
gap0456,Capassi Gherardo^0^0^1687
gap0457,Capassi Giovanni Battista^0^0^1665
gap0458,Capece Angelo^0^0^1711
gap0459,Caperti Silvio^0^0^1679
gap0460,Capisucchi Lorenzo^0^0^1671
gap0461,Capisucchi Raimondo^0^0^1674
gap0464,Capponi Francesco^0^0^1694
gap0465,Capponi Giovanni Battista^0^0^1673
gap0466,Capponi Vincenzo^0^0^1659
gap0468,Caraccioli Antonio Francesco^0^0^1680
gap0469,Carafa Carlo Maria^0^0^1690
gap0470,Caramelli Andrea Francesco^0^0^1679
gap0472,Caramelli Antonio Francesco^0^0^1683
gap0473,Caramelli Lorenzo^0^0^1684
gap0474,Caravaggi Giovanni Andrea^0^0^1671
gap0475,Caravaggi Pietro Paolo^0^0^1675
gap0477,Carbone Antonio^0^0^1686
gap0478,Cardano Francesco Maria^0^0^1697
gap0479,Cardon Daniel^0^0^1677
gap0480,Carena Francesco Maria^0^0^1698
gap0481,Carini Antonio^0^0^1700
gap0482,Carlieri Jacopo^0^0^1693
gap0483,Carlini Domenico^0^0^1687
gap0484,Carlini Raffaello^0^0^1694
gap0485,Carli Paolo Francesco^0^0^1677
gap0486,Carlo d'Aquino^0^0^1704
gap0487,Carlo di S. Antonio da Padova^0^0^1676
gap0488,Carlo Giovanni del Gesù^0^0^1681
gap0490,Caro Francesco^0^0^1686
gap0491,Carpanti [...]^0^0^1685
gap0492,Carpanti Giuseppe^0^0^1683
gap0495,Casalecchi Ferdinando^0^0^1705
gap0496,Casalecchi Giovanni^0^0^1700
gap0498,Casari Giovanni Aurelio^0^0^1691
gap0499,Casati Paolo^0^0^1680
gap0500,Cascina Giuseppe Maria^0^0^1689
gap0501,Casini Giovanni Maria^0^0^1711
gap0502,Casini Ippolito^0^0^1691
gap0503,Casoni Giovanni^0^0^1669
gap0505,Castaniere Claudio^0^0^1669
gap0506,Castellini Giovanni Battista^0^0^1674
gap0507,Castiglioni Dante^0^0^1671
gap0509,Castri Ottavio^0^0^1687
gap0510,Catalani Carlo Bonaventura^0^0^1689
gap0511,Catani Michele Girolamo^0^0^1704
gap0512,Catelani Alessandro Luigi^0^0^1690
gap0513,Catelani Anacleto^0^0^1692
gap0514,Caterini Giovanni^0^0^1674
gap0515,Caterini Giovanni Silvo^0^0^1704
gap0516,Cava Alberto^0^0^1673
gap0517,Cavaceppi Federico^0^0^1708
gap0519,Cavalcanti Bernardino^0^0^1682
gap0520,Cavalcanti Lorenzo Maria^0^0^1681
gap0521,Cavalcanti Vincenzo^0^0^1678
gap0522,Cavaliero Bernardo^0^0^1702
gap0523,Cavallari^0^0^1670
gap0524,Cavana Giovanni Niccol•^0^0^1673
gap0525,Cavicchi Bonifacio^0^0^1691
gap0527,Cavina Pietro Maria^0^0^1679
gap0528,Cavina Sigismondo^0^0^1691
gap0529,Cecchi Bernardo^0^0^1697
gap0530,Cecchi Giovanni Battista^0^0^1691
gap0531,Cecchi Giovanni Filippo^0^0^1679
gap0533,Cecini Fabrizio^0^0^1669
gap0535,Celer[ini?] Angelo^0^0^1681
gap0536,Celes Martino^0^0^1698
gap0537,Celsio Giovanni^0^0^1692
gap0538,Celsius Olaus^0^0^1698
gap0539,Cenni Francesco Maria^0^0^1690
gap0541,Cenni Giacomo Maria^0^0^1688
gap0543,Cennini Leopoldo^0^0^1673
gap0544,Cennini Paolo^0^0^1669
gap0545,Centofiorini Girolamo^0^0^1693
