SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp005137,skp042320,Bernardus Pleger^0^0^1702,Theodorus Janssonius van Almeloveen^1657^1712^0,1
skp005563,skp037757,Burchardus de Volder^1643^1709^0,Petrus Burman^1668^1741^0,1
skp006336,skp016830,C.J. de Ligne^0^0^1706,Gijsbert Cuper^1644^1716^0,1
skp024112,skp006760,Jacobus Perizonius^1651^1715^0,Carolus Andreas Duker^1670^1752^0,1
skp038661,skp006760,Pieter van der Aa^1659^1733^0,Carolus Andreas Duker^1670^1752^0,1
skp006926,skp042320,Casper van Els^0^1720^0,Theodorus Janssonius van Almeloveen^1657^1712^0,1
skp007935,skp042320,Christianus Falke^0^0^1704,Theodorus Janssonius van Almeloveen^1657^1712^0,1
skp016830,skp008025,Gijsbert Cuper^1644^1716^0,Christoph Cellarius^1638^1707^0,1
skp042320,skp008025,Theodorus Janssonius van Almeloveen^1657^1712^0,Christoph Cellarius^1638^1707^0,1
skp008645,skp037757,Corn van Schagen^0^0^1706,Petrus Burman^1668^1741^0,1
skp008927,skp016830,Cornelis de Bruyn^1652^1727^0,Gijsbert Cuper^1644^1716^0,1
skp024112,skp009101,Jacobus Perizonius^1651^1715^0,Cornelius van Eck^1662^1732^0,1
skp009416,skp016830,D. Modé^0^0^1706,Gijsbert Cuper^1644^1716^0,1
skp009659,skp025637,Damaris Cudworth^1659^1708^0,Jean Le Clerc^1657^1736^0,1
skp042320,skp009823,Theodorus Janssonius van Almeloveen^1657^1712^0,Daniel Wilhelm Moller^1642^1712^0,1
skp010001,skp016830,David Martin^1639^1721^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp011374,Gijsbert Cuper^1644^1716^0,Eduard van Zurck^1660^1726^0,1
skp042320,skp011597,Theodorus Janssonius van Almeloveen^1657^1712^0,Elisabeth Koolaart^1664^1736^0,1
skp037757,skp012121,Petrus Burman^1668^1741^0,Eusebe Renaudot^1646^1720^0,1
skp016830,skp012261,Gijsbert Cuper^1644^1716^0,Ezechiel Spanheim^1629^1710^0,1
skp012261,skp024112,Ezechiel Spanheim^1629^1710^0,Jacobus Perizonius^1651^1715^0,1
skp012261,skp037757,Ezechiel Spanheim^1629^1710^0,Petrus Burman^1668^1741^0,1
skp019539,skp013204,Henrik Brenkman^1681^1736^0,Fr. Hesselius^0^0^1702,1
skp013320,skp016830,Francesco Ficoroni^1664^1747^0,Gijsbert Cuper^1644^1716^0,1
skp042320,skp013449,Theodorus Janssonius van Almeloveen^1657^1712^0,Franciscus Hesselius^1680^1746^0,1
skp016830,skp013508,Gijsbert Cuper^1644^1716^0,Franciscus van Nesselrode^1634^1707^0,1
skp025637,skp013653,Jean Le Clerc^1657^1736^0,Frans van Limborch^1679^1765^0,1
skp016830,skp016423,Gijsbert Cuper^1644^1716^0,Gerard Noodt^1647^1725^0,1
skp042320,skp016429,Theodorus Janssonius van Almeloveen^1657^1712^0,Gerard Puppius Hondius^1666^1740^0,1
skp016830,skp016613,Gijsbert Cuper^1644^1716^0,Gerhardus Jordens^1669^1764^0,1
skp012673,skp016830,Hendrick van Bilderbeeck^1640^1715^0,Gijsbert Cuper^1644^1716^0,1
skp016858,skp016830,Gilbert Burnet^1643^1715^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp019155,Gijsbert Cuper^1644^1716^0,Hendrik van Suchtelen^0^0^1702,1
skp019305,skp016830,Henri Philipponneau de Hautecourt^1646^1715^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp019383,Gijsbert Cuper^1644^1716^0,Henricus Copes^1648^1708^0,1
skp023855,skp016830,Jacob de Wilde^1645^1721^0,Gijsbert Cuper^1644^1716^0,1
skp023912,skp016830,Jacob van den Heuvel^1671^1737^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp024118,Gijsbert Cuper^1644^1716^0,Jacobus Pikerus^0^0^1695,1
skp016830,skp024128,Gijsbert Cuper^1644^1716^0,Jacobus Rhenferd^1654^1712^0,1
skp016830,skp024271,Gijsbert Cuper^1644^1716^0,Jacques Basnage de Beauval^1653^1723^0,1
skp016830,skp024300,Gijsbert Cuper^1644^1716^0,Jacques Du Rondel^1630^1715^0,1
skp016830,skp024317,Gijsbert Cuper^1644^1716^0,Jacques Gallé^0^1708^0,1
